,cust_id,income,Tier_income,age,Age_Group,nbr_children,gender,marital_status,first_name,last_name,state_code,Region,acct_type,account_active,starting_balance,ending_balance,money_spent
3,1362487,6605,Lowest,71,70-79,0,M ,2,ChingDyi                                                    ,Moussavi                                                    ,CA  ,West,CK  ,Y,2781.07,1401.21,1379.8600000000001
4,1363160,18548,Lowest,38,30-39,0,F ,1,Rosa                                                        ,Johnston                                                    ,CA  ,West,CC  ,Y,657.46,286.69,370.77000000000004
6,1362752,47668,Lower Middle,54,50-59,0,F ,1,Lisa                                                        ,Martin                                                      ,CA  ,West,CK  ,Y,487.69,3.76,483.93
9,1362548,44554,Lower Middle,59,50-59,2,F ,4,Barbara                                                     ,O'Malley                                                    ,NY  ,Northeast,CK  ,Y,6004.34,569.65,5434.6900000000005
10,1362548,44554,Lower Middle,59,50-59,2,F ,4,Barbara                                                     ,O'Malley                                                    ,NY  ,Northeast,CC  ,Y,6965.25,68.68,6896.57
18,1362609,1929,Lowest,79,70-79,0,F ,2,Sandy                                                       ,Rayhanian                                                   ,HI  ,West,SV  ,Y,758.41,49.39,709.02
21,1363078,9622,Lowest,46,40-49,1,M ,2,Christopher                                                 ,McVicker                                                    ,HI  ,West,CK  ,Y,301.36,167.83,133.53
22,1363078,9622,Lowest,46,40-49,1,M ,2,Christopher                                                 ,McVicker                                                    ,HI  ,West,CC  ,Y,2385.21,1147.07,1238.14
23,1363282,25829,Lower Middle,29,19-29,0,F ,1,Betty                                                       ,Gausman                                                     ,DC  ,South,CK  ,Y,133.9,84.18,49.72
31,1363465,10516,Lowest,41,40-49,1,M ,4,Harvey                                                      ,Hudson                                                      ,CA  ,West,CK  ,Y,2605.3,1632.35,972.9500000000003
34,1362588,6354,Lowest,66,60-69,0,M ,2,Geneve                                                      ,McGough                                                     ,WA  ,West,CK  ,Y,230.67,5.87,224.79999999999998
36,1362588,6354,Lowest,66,60-69,0,M ,2,Geneve                                                      ,McGough                                                     ,WA  ,West,SV  ,Y,252.24,9.71,242.53
37,1363200,21015,Lowest,18,10-18,0,M ,1,Owen                                                        ,Maloney                                                     ,CA  ,West,CK  ,Y,2801.98,955.03,1846.95
40,1362853,26505,Lower Middle,50,50-59,1,F ,2,Sally                                                       ,Matsumoto                                                   ,NJ  ,Northeast,CK  ,Y,3648.96,1875.77,1773.19
45,1363261,19494,Lowest,46,40-49,0,F ,1,Paula                                                       ,Wittenberg                                                  ,NY  ,Northeast,CK  ,Y,4185.93,1606.69,2579.2400000000002
48,1363179,19334,Lowest,42,40-49,2,F ,4,Kathy                                                       ,Glover                                                      ,IL  ,Midwest,CK  ,Y,2608.77,36.7,2572.07
49,1363057,6493,Lowest,74,70-79,0,F ,2,Carmen                                                      ,Williamson                                                  ,NY  ,Northeast,CC  ,Y,1010.39,938.43,71.96000000000004
50,1363057,6493,Lowest,74,70-79,0,F ,2,Carmen                                                      ,Williamson                                                  ,NY  ,Northeast,SV  ,Y,2311.66,1385.03,926.6299999999999
51,1363444,3171,Lowest,22,19-29,1,F ,2,Cecilia                                                     ,McLaughlin                                                  ,CA  ,West,CK  ,Y,165.34,68.22,97.12
53,1362649,8976,Lowest,28,19-29,1,F ,2,Demi                                                        ,Garrison                                                    ,NY  ,Northeast,CK  ,Y,134.68,30.47,104.21000000000001
56,1363383,21751,Lowest,64,60-69,0,M ,2,Ron                                                         ,Schnack                                                     ,CO  ,West,CC  ,Y,1069.93,0.0,1069.93
57,1363036,24326,Lowest,60,60-69,0,F ,2,Cynthia                                                     ,Erceg                                                       ,WI  ,Midwest,CK  ,Y,3301.91,41.36,3260.5499999999997
60,1362832,56597,Middle,31,30-39,2,F ,2,Connie                                                      ,Raco                                                        ,MI  ,Midwest,CK  ,Y,838.43,49.08,789.3499999999999
63,1362975,36330,Lower Middle,46,40-49,1,M ,2,Nick                                                        ,Mevawalla                                                   ,NB  ,Midwest,CC  ,Y,556.1,525.5,30.600000000000023
64,1363301,39991,Lower Middle,40,40-49,0,F ,1,Chris                                                       ,Owings                                                      ,AZ  ,West,CK  ,Y,5616.16,285.21,5330.95
66,1362771,24344,Lowest,32,30-39,2,F ,2,Brenda                                                      ,Khanijow                                                    ,IL  ,Midwest,CK  ,Y,162.03,141.86,20.169999999999987
70,1363097,21663,Lowest,54,50-59,1,F ,2,Margarita                                                   ,Justice                                                     ,HI  ,West,CK  ,Y,220.02,26.6,193.42000000000002
72,1363097,21663,Lowest,54,50-59,1,F ,2,Margarita                                                   ,Justice                                                     ,HI  ,West,SV  ,Y,183.44,10.28,173.16
73,1363158,13148,Lowest,48,40-49,0,M ,1,Carlo                                                       ,Ryback                                                      ,OH  ,Midwest,CK  ,Y,2659.16,1080.81,1578.35
74,1363158,13148,Lowest,48,40-49,0,M ,1,Carlo                                                       ,Ryback                                                      ,OH  ,Midwest,CC  ,Y,364.24,121.67,242.57
77,1362485,22690,Lowest,25,19-29,0,F ,1,Elvira                                                      ,Linderman                                                   ,NY  ,Northeast,CK  ,Y,209.78,45.49,164.29
78,1362546,10025,Lowest,35,30-39,0,F ,2,Joyce                                                       ,Levy                                                        ,NY  ,Northeast,CK  ,Y,2657.17,84.83,2572.34
79,1362546,10025,Lowest,35,30-39,0,F ,2,Joyce                                                       ,Levy                                                        ,NY  ,Northeast,CC  ,Y,2340.61,1292.63,1047.98
81,1362954,43317,Lower Middle,30,30-39,3,F ,2,Judith                                                      ,Palmer                                                      ,CA  ,West,CK  ,Y,5504.29,301.79,5202.5
83,1363015,24545,Lowest,52,50-59,1,F ,2,Debbie                                                      ,McMillen                                                    ,CA  ,West,CK  ,Y,278.52,208.03,70.48999999999998
85,1363219,18036,Lowest,36,30-39,2,F ,2,Kathy                                                       ,Higgins                                                     ,NY  ,Northeast,CK  ,Y,4312.1,13.46,4298.64
87,1363484,10244,Lowest,52,50-59,0,F ,1,Blanche                                                     ,Takahashi                                                   ,MN  ,Midwest,CK  ,Y,2600.97,233.06,2367.91
88,1363484,10244,Lowest,52,50-59,0,F ,1,Blanche                                                     ,Takahashi                                                   ,MN  ,Midwest,CC  ,Y,867.01,408.08,458.93
89,1362811,8011,Lowest,82,80-89,0,F ,2,Daniel                                                      ,Hoff                                                        ,PA  ,Northeast,CK  ,Y,2599.7,278.54,2321.16
91,1362607,24450,Lowest,44,40-49,1,M ,2,Johnson                                                     ,Celio                                                       ,WA  ,West,CK  ,Y,290.21,165.23,124.97999999999999
92,1362607,24450,Lowest,44,40-49,1,M ,2,Johnson                                                     ,Celio                                                       ,WA  ,West,CC  ,Y,1957.45,903.36,1054.0900000000001
95,1363280,7571,Lowest,23,19-29,1,F ,4,May                                                         ,Thomas                                                      ,TN  ,South,CK  ,Y,275.6,269.95,5.650000000000034
97,1363076,47083,Lower Middle,43,40-49,1,F ,2,Marsha                                                      ,Richards                                                    ,NY  ,Northeast,CK  ,Y,918.78,67.3,851.48
98,1363076,47083,Lower Middle,43,40-49,1,F ,2,Marsha                                                      ,Richards                                                    ,NY  ,Northeast,CC  ,Y,6842.2,770.56,6071.639999999999
104,1362933,19823,Lowest,55,50-59,1,M ,2,Hubbert                                                     ,Paul                                                        ,OR  ,West,SV  ,Y,268.67,17.18,251.49
107,1363402,24368,Lowest,63,60-69,0,F ,1,Inge                                                        ,McLain                                                      ,NY  ,Northeast,CK  ,Y,3294.44,9.62,3284.82
110,1362525,6300,Lowest,77,70-79,0,F ,1,Virginia                                                    ,Murray                                                      ,IL  ,Midwest,CK  ,Y,256.46,95.53,160.92999999999998
111,1362525,6300,Lowest,77,70-79,0,F ,1,Virginia                                                    ,Murray                                                      ,IL  ,Midwest,CC  ,Y,2901.68,1051.01,1850.6699999999998
113,1362851,51608,Middle,39,30-39,0,M ,1,Kalin                                                       ,Niedelman                                                   ,TX  ,South,CK  ,Y,7059.92,635.97,6423.95
114,1363259,7335,Lowest,28,19-29,1,M ,2,Carl                                                        ,Lennan                                                      ,CA  ,West,CC  ,Y,380.61,334.29,46.31999999999999
115,1362912,29064,Lower Middle,35,30-39,3,M ,2,Vincent                                                     ,Alpert                                                      ,NY  ,Northeast,CK  ,Y,174.15,12.7,161.45000000000002
120,1362708,15246,Lowest,29,19-29,0,M ,1,Peter                                                       ,Roberts                                                     ,NY  ,Northeast,SV  ,Y,5006.85,3821.12,1185.7300000000005
121,1362973,17242,Lowest,60,60-69,0,F ,1,Amelia                                                      ,Hanson                                                      ,PA  ,Northeast,CK  ,Y,2803.5,898.28,1905.22
124,1363442,144157,Highest,58,50-59,0,M ,2,Alex                                                        ,Gins                                                        ,TX  ,South,CK  ,Y,787.03,90.63,696.4
126,1362565,27492,Lower Middle,49,40-49,0,F ,1,Carmen                                                      ,Pike                                                        ,CA  ,West,CK  ,Y,5753.09,271.08,5482.01
132,1362830,10933,Lowest,18,10-18,0,F ,1,Lisa                                                        ,Roberson                                                    ,PA  ,Northeast,CC  ,Y,640.41,88.21,552.1999999999999
133,1362830,10933,Lowest,18,10-18,0,F ,1,Lisa                                                        ,Roberson                                                    ,PA  ,Northeast,SV  ,Y,237.88,35.68,202.2
137,1363013,4435,Lowest,65,60-69,0,F ,2,Malisa                                                      ,Schissler                                                   ,NY  ,Northeast,CK  ,Y,281.62,14.54,267.08
139,1363095,12396,Lowest,60,60-69,0,F ,2,Maxine                                                      ,Brownell                                                    ,NY  ,Northeast,CK  ,Y,1242.77,187.99,1054.78
140,1363095,12396,Lowest,60,60-69,0,F ,2,Maxine                                                      ,Brownell                                                    ,NY  ,Northeast,SV  ,Y,2042.54,868.08,1174.46
146,1362605,16957,Lowest,34,30-39,0,F ,2,Robyn                                                       ,Baker                                                       ,TN  ,South,CK  ,Y,256.11,7.84,248.27
149,1362952,7633,Lowest,53,50-59,0,F ,2,Farrah                                                      ,O'Flaherty                                                  ,WA  ,West,CK  ,Y,1069.57,473.45,596.1199999999999
150,1362952,7633,Lowest,53,50-59,0,F ,2,Farrah                                                      ,O'Flaherty                                                  ,WA  ,West,CC  ,Y,3038.8,782.77,2256.03
153,1363421,1982,Lowest,28,19-29,0,M ,1,Kent                                                        ,Harper                                                      ,CA  ,West,CK  ,Y,2624.85,918.69,1706.1599999999999
154,1363421,1982,Lowest,28,19-29,0,M ,1,Kent                                                        ,Harper                                                      ,CA  ,West,CC  ,Y,2828.16,814.67,2013.4899999999998
156,1362727,81509,Upper Middle,41,40-49,1,F ,2,Pat                                                         ,Kraus                                                       ,NY  ,Northeast,CK  ,Y,946.93,392.05,554.8799999999999
159,1362809,25180,Lower Middle,56,50-59,1,F ,3,Jill                                                        ,Rostek                                                      ,IN  ,Midwest,CK  ,Y,3199.27,1160.14,2039.1299999999999
160,1362809,25180,Lower Middle,56,50-59,1,F ,3,Jill                                                        ,Rostek                                                      ,IN  ,Midwest,CC  ,Y,2481.47,0.0,2481.47
165,1363461,23108,Lowest,69,60-69,0,F ,2,Caroline                                                    ,Ross                                                        ,MN  ,Midwest,CK  ,Y,3144.44,1223.94,1920.5
168,1363135,18350,Lowest,38,30-39,2,F ,2,Rosalynn                                                    ,Hedegard                                                    ,CA  ,West,CC  ,Y,3139.52,247.32,2892.2
169,1362584,12885,Lowest,61,60-69,0,F ,2,Molly                                                       ,Cole                                                        ,IL  ,Midwest,CK  ,Y,119.01,12.5,106.51
171,1362584,12885,Lowest,61,60-69,0,F ,2,Molly                                                       ,Cole                                                        ,IL  ,Midwest,SV  ,Y,2032.5,1999.37,33.13000000000011
172,1362931,39704,Lower Middle,53,50-59,1,F ,2,Paulina                                                     ,Shen                                                        ,CA  ,West,CK  ,Y,5591.93,713.56,4878.370000000001
175,1363400,49258,Lower Middle,49,40-49,0,F ,2,Priscilla                                                   ,Lackpour                                                    ,NY  ,Northeast,CC  ,Y,3293.54,2186.72,1106.8200000000002
176,1363400,49258,Lower Middle,49,40-49,0,F ,2,Priscilla                                                   ,Lackpour                                                    ,NY  ,Northeast,SV  ,Y,565.38,137.85,427.53
177,1363318,7751,Lowest,41,40-49,2,F ,4,Beatrice                                                    ,Powers                                                      ,TX  ,South,CK  ,Y,102.33,89.49,12.840000000000003
180,1362992,24534,Lowest,40,40-49,0,F ,1,Pauline                                                     ,Lennan                                                      ,AZ  ,West,CK  ,Y,272.23,5.85,266.38
188,1362849,22001,Lowest,44,40-49,0,F ,1,Lorraine                                                    ,Knowles                                                     ,TN  ,South,CK  ,Y,173.86,3.98,169.88000000000002
189,1362849,22001,Lowest,44,40-49,0,F ,1,Lorraine                                                    ,Knowles                                                     ,TN  ,South,CC  ,Y,1057.28,515.69,541.5899999999999
198,1362971,31040,Lower Middle,60,60-69,0,F ,2,Harriet                                                     ,Putnam                                                      ,WA  ,West,CK  ,Y,3365.88,185.4,3180.48
200,1362746,8810,Lowest,35,30-39,2,F ,2,Arlene                                                      ,Sinclair                                                    ,LA  ,South,CK  ,Y,149.31,12.89,136.42000000000002
201,1362746,8810,Lowest,35,30-39,2,F ,2,Arlene                                                      ,Sinclair                                                    ,LA  ,South,CC  ,Y,1037.11,1000.0,37.1099999999999
203,1363236,23206,Lowest,64,60-69,0,M ,3,Teri                                                        ,Steele                                                      ,CA  ,West,CK  ,Y,2977.65,52.8,2924.85
204,1363236,23206,Lowest,64,60-69,0,M ,3,Teri                                                        ,Steele                                                      ,CA  ,West,CC  ,Y,5922.77,1555.34,4367.43
206,1363215,57723,Middle,57,50-59,1,M ,4,Marty                                                       ,Lau                                                         ,NY  ,Northeast,CK  ,Y,7673.23,4645.09,3028.1399999999994
207,1363215,57723,Middle,57,50-59,1,M ,4,Marty                                                       ,Lau                                                         ,NY  ,Northeast,CC  ,Y,9073.46,2089.45,6984.009999999999
210,1363011,90248,Upper Middle,55,50-59,0,M ,4,Joe                                                         ,Wall                                                        ,NY  ,Northeast,CK  ,Y,12730.29,1615.18,11115.11
212,1363011,90248,Upper Middle,55,50-59,0,M ,4,Joe                                                         ,Wall                                                        ,NY  ,Northeast,SV  ,Y,1470.91,1387.58,83.33000000000015
213,1363297,9351,Lowest,46,40-49,0,F ,1,Debbie                                                      ,McCreary                                                    ,AZ  ,West,CK  ,Y,327.75,39.24,288.51
214,1363297,9351,Lowest,46,40-49,0,F ,1,Debbie                                                      ,McCreary                                                    ,AZ  ,West,CC  ,Y,805.7,67.82,737.8800000000001
215,1363480,8038,Lowest,22,19-29,0,F ,1,Connie                                                      ,Harrington                                                  ,MD  ,South,CK  ,Y,2072.19,33.77,2038.42
225,1363154,2925,Lowest,29,19-29,2,F ,4,Kathy                                                       ,Johnson                                                     ,CA  ,West,CK  ,Y,129.88,20.3,109.58
226,1363337,84335,Upper Middle,43,40-49,4,F ,4,Michelle                                                    ,Starkel                                                     ,CA  ,West,CK  ,Y,8494.05,1180.64,7313.409999999999
228,1362950,11935,Lowest,60,60-69,0,F ,2,Happy                                                       ,Warner                                                      ,KY  ,South,CK  ,Y,163.97,163.22,0.75
231,1362929,83295,Upper Middle,58,50-59,1,M ,4,Les                                                         ,Carter                                                      ,TX  ,South,CK  ,Y,1017.61,20.65,996.96
234,1362542,43900,Lower Middle,36,30-39,2,F ,2,Mayreen                                                     ,Hudson                                                      ,NY  ,Northeast,CK  ,Y,2865.66,0.0,2865.66
237,1362725,68933,Middle,52,50-59,1,M ,3,Syukuro                                                     ,Center                                                      ,MO  ,Midwest,CK  ,Y,3853.98,47.34,3806.64
239,1362725,68933,Middle,52,50-59,1,M ,3,Syukuro                                                     ,Center                                                      ,MO  ,Midwest,SV  ,Y,17303.42,16095.5,1207.9199999999983
243,1362664,30676,Lower Middle,46,40-49,5,M ,4,Corey                                                       ,Boyd                                                        ,CA  ,West,CK  ,Y,4140.94,2683.65,1457.2899999999995
247,1363133,12823,Lowest,66,60-69,0,F ,1,Lila                                                        ,Coleman                                                     ,OK  ,South,CC  ,Y,1656.7,0.0,1656.7
250,1362643,6356,Lowest,18,10-18,0,F ,1,Julie                                                       ,Hood                                                        ,NY  ,Northeast,CK  ,Y,4286.4,1860.19,2426.2099999999996
252,1363398,13811,Lowest,50,50-59,0,F ,3,Elsie                                                       ,Larichev                                                    ,NB  ,Midwest,CK  ,Y,2569.26,86.13,2483.13
255,1363377,5488,Lowest,33,30-39,3,F ,2,Darby                                                       ,Milby                                                       ,CA  ,West,CK  ,Y,2731.16,146.5,2584.66
260,1363173,27649,Lower Middle,58,50-59,1,M ,2,Moji                                                        ,McLaughlin                                                  ,CA  ,West,CK  ,Y,139.57,138.38,1.1899999999999977
264,1362765,2769,Lowest,18,10-18,0,F ,1,Jenny                                                       ,Holloway                                                    ,CA  ,West,CK  ,Y,2615.72,820.66,1795.06
267,1363255,17559,Lowest,51,50-59,0,F ,2,Vivian                                                      ,Romen                                                       ,CA  ,West,CK  ,Y,262.07,20.46,241.60999999999999
268,1363234,12202,Lowest,79,70-79,0,M ,2,Charles                                                     ,Bender                                                      ,TN  ,South,CK  ,Y,369.4,31.19,338.21
276,1362622,34797,Lower Middle,69,60-69,0,M ,1,Rich                                                        ,Matser                                                      ,CA  ,West,CK  ,Y,4702.27,890.53,3811.7400000000007
277,1363112,13295,Lowest,38,30-39,3,F ,2,Maria                                                       ,Shelton                                                     ,CA  ,West,CK  ,Y,2759.11,1085.16,1673.95
278,1363112,13295,Lowest,38,30-39,3,F ,2,Maria                                                       ,Shelton                                                     ,CA  ,West,CC  ,Y,852.02,0.0,852.02
286,1363356,12258,Lowest,39,30-39,3,F ,2,Patty                                                       ,Meyer                                                       ,CA  ,West,CK  ,Y,2670.21,10.33,2659.88
