,cust_id,income,Tier_income,age,Age_Group,years_with_bank,nbr_children,gender,marital_status,first_name,last_name,state_code,Region
0,1362691,26150,Low Middle,46,40-49,5,1,M ,2,Donald                                                      ,Marek                                                       ,NV  ,West
1,1362487,6605,Lowest,71,70-79,1,0,M ,2,ChingDyi                                                    ,Moussavi                                                    ,CA  ,West
2,1363160,18548,Low Middle,38,30-39,8,0,F ,1,Rosa                                                        ,Johnston                                                    ,CA  ,West
3,1362752,47668,High Middle,54,50-59,3,0,F ,1,Lisa                                                        ,Martin                                                      ,CA  ,West
4,1362548,44554,High Middle,59,50-59,9,2,F ,4,Barbara                                                     ,O'Malley                                                    ,NY  ,Northeast
5,1362813,15684,Low Middle,53,50-59,3,2,F ,2,Terry                                                       ,Eubanks                                                     ,IL  ,Midwest
6,1363017,0,,16,10-19,1,0,M ,1,Tim                                                         ,McMillen                                                    ,CA  ,West
7,1362609,1929,Lowest,79,70-79,8,0,F ,2,Sandy                                                       ,Rayhanian                                                   ,HI  ,West
8,1363486,39942,Low Middle,41,40-49,1,5,F ,4,Jill                                                        ,Campbell                                                    ,HI  ,West
9,1363078,9622,Lowest,46,40-49,6,1,M ,2,Christopher                                                 ,McVicker                                                    ,HI  ,West
10,1363282,25829,Low Middle,29,20-29,8,0,F ,1,Betty                                                       ,Gausman                                                     ,DC  ,South
11,1363343,0,,15,10-19,0,0,M ,1,Robin                                                       ,Shin                                                        ,TX  ,South
12,1362527,17622,Low Middle,44,40-49,1,0,M ,2,Chuck                                                       ,Flynn                                                       ,CA  ,West
13,1362670,8877,Lowest,26,20-29,5,0,F ,1,Lynn                                                        ,Wolf                                                        ,CA  ,West
14,1362996,23351,Low Middle,51,50-59,1,2,F ,2,Robin                                                       ,Johnson                                                     ,PA  ,Northeast
15,1362935,0,,15,10-19,0,0,M ,1,Duncan                                                      ,Paul                                                        ,OR  ,West
16,1363465,10516,Lowest,41,40-49,1,1,M ,4,Harvey                                                      ,Hudson                                                      ,CA  ,West
17,1363404,0,,17,10-19,2,0,M ,1,Jacob                                                       ,Matthews                                                    ,OH  ,Midwest
18,1362588,6354,Lowest,66,60-69,6,0,M ,2,Geneve                                                      ,McGough                                                     ,WA  ,West
19,1363200,21015,Low Middle,18,10-19,3,0,M ,1,Owen                                                        ,Maloney                                                     ,CA  ,West
20,1362853,26505,Low Middle,50,50-59,0,1,F ,2,Sally                                                       ,Matsumoto                                                   ,NJ  ,Northeast
21,1362792,3158,Lowest,80,80-89,0,0,M ,2,Eric                                                        ,Parent                                                      ,NY  ,Northeast
22,1363322,66930,High Middle,58,50-59,8,0,F ,2,Angela                                                      ,Herreweyers                                                 ,IN  ,Midwest
23,1363261,19494,Low Middle,46,40-49,6,0,F ,1,Paula                                                       ,Wittenberg                                                  ,NY  ,Northeast
24,1363179,19334,Low Middle,42,40-49,2,2,F ,4,Kathy                                                       ,Glover                                                      ,IL  ,Midwest
25,1363057,6493,Lowest,74,70-79,4,0,F ,2,Carmen                                                      ,Williamson                                                  ,NY  ,Northeast
26,1363444,3171,Lowest,22,20-29,1,1,F ,2,Cecilia                                                     ,McLaughlin                                                  ,CA  ,West
27,1362649,8976,Lowest,28,20-29,7,1,F ,2,Demi                                                        ,Garrison                                                    ,NY  ,Northeast
28,1362567,30664,Low Middle,56,50-59,6,1,F ,2,Kimberly                                                    ,Telles                                                      ,CA  ,West
29,1363383,21751,Low Middle,64,60-69,4,0,M ,2,Ron                                                         ,Schnack                                                     ,CO  ,West
30,1363036,24326,Low Middle,60,60-69,0,0,F ,2,Cynthia                                                     ,Erceg                                                       ,WI  ,Midwest
31,1362506,76087,High Middle,52,50-59,2,1,M ,2,Jeff                                                        ,Troester                                                    ,CA  ,West
32,1362832,56597,High Middle,31,30-39,1,2,F ,2,Connie                                                      ,Raco                                                        ,MI  ,Midwest
33,1362975,36330,Low Middle,46,40-49,6,1,M ,2,Nick                                                        ,Mevawalla                                                   ,NB  ,Midwest
34,1363301,39991,Low Middle,40,40-49,0,0,F ,1,Chris                                                       ,Owings                                                      ,AZ  ,West
35,1362771,24344,Low Middle,32,30-39,2,2,F ,2,Brenda                                                      ,Khanijow                                                    ,IL  ,Midwest
36,1362893,0,,15,10-19,7,0,M ,1,Dean                                                        ,Kirchmer                                                    ,OR  ,West
37,1363097,21663,Low Middle,54,50-59,4,1,F ,2,Margarita                                                   ,Justice                                                     ,HI  ,West
38,1363158,13148,Lowest,48,40-49,8,0,M ,1,Carlo                                                       ,Ryback                                                      ,OH  ,Midwest
39,1362485,22690,Low Middle,25,20-29,4,0,F ,1,Elvira                                                      ,Linderman                                                   ,NY  ,Northeast
40,1362546,10025,Lowest,35,30-39,5,0,F ,2,Joyce                                                       ,Levy                                                        ,NY  ,Northeast
41,1362954,43317,High Middle,30,30-39,0,3,F ,2,Judith                                                      ,Palmer                                                      ,CA  ,West
42,1363015,24545,Low Middle,52,50-59,2,1,F ,2,Debbie                                                      ,McMillen                                                    ,CA  ,West
43,1363219,18036,Low Middle,36,30-39,6,2,F ,2,Kathy                                                       ,Higgins                                                     ,NY  ,Northeast
44,1363484,10244,Lowest,52,50-59,2,0,F ,1,Blanche                                                     ,Takahashi                                                   ,MN  ,Midwest
45,1362811,8011,Lowest,82,80-89,2,0,F ,2,Daniel                                                      ,Hoff                                                        ,PA  ,Northeast
46,1362607,24450,Low Middle,44,40-49,4,1,M ,2,Johnson                                                     ,Celio                                                       ,WA  ,West
47,1363280,7571,Lowest,23,20-29,2,1,F ,4,May                                                         ,Thomas                                                      ,TN  ,South
48,1362872,17099,Low Middle,47,40-49,7,2,F ,3,June                                                        ,Bradley                                                     ,CA  ,West
49,1363076,47083,High Middle,43,40-49,3,1,F ,2,Marsha                                                      ,Richards                                                    ,NY  ,Northeast
50,1362729,0,,13,10-19,5,0,M ,1,Bruce                                                       ,Kraus                                                       ,NY  ,Northeast
51,1362668,0,,13,10-19,5,0,M ,1,Chiman                                                      ,Boyd                                                        ,CA  ,West
52,1363198,60104,High Middle,56,50-59,6,2,M ,2,Hal                                                         ,Maloney                                                     ,CA  ,West
53,1362933,19823,Low Middle,55,50-59,5,1,M ,2,Hubbert                                                     ,Paul                                                        ,OR  ,West
54,1362586,24476,Low Middle,46,40-49,6,0,F ,1,Blanche                                                     ,Norris                                                      ,VA  ,South
55,1363402,24368,Low Middle,63,60-69,3,0,F ,1,Inge                                                        ,McLain                                                      ,NY  ,Northeast
56,1363055,34473,Low Middle,52,50-59,2,1,M ,2,Steve                                                       ,Clark                                                       ,WI  ,Midwest
57,1362525,6300,Lowest,77,70-79,7,0,F ,1,Virginia                                                    ,Murray                                                      ,IL  ,Midwest
58,1362851,51608,High Middle,39,30-39,4,0,M ,1,Kalin                                                       ,Niedelman                                                   ,TX  ,South
59,1363259,7335,Lowest,28,20-29,7,1,M ,2,Carl                                                        ,Lennan                                                      ,CA  ,West
60,1362912,29064,Low Middle,35,30-39,5,3,M ,2,Vincent                                                     ,Alpert                                                      ,NY  ,Northeast
61,1362504,0,,15,10-19,0,0,F ,1,Tammy                                                       ,Carrington                                                  ,CA  ,West
62,1362708,15246,Low Middle,29,20-29,4,0,M ,1,Peter                                                       ,Roberts                                                     ,NY  ,Northeast
63,1362973,17242,Low Middle,60,60-69,0,0,F ,1,Amelia                                                      ,Hanson                                                      ,PA  ,Northeast
64,1363442,144157,Highest,58,50-59,5,0,M ,2,Alex                                                        ,Gins                                                        ,TX  ,South
65,1362769,27885,Low Middle,34,30-39,3,0,F ,1,Kathy                                                       ,Liu                                                         ,CA  ,West
66,1362565,27492,Low Middle,49,40-49,9,0,F ,1,Carmen                                                      ,Pike                                                        ,CA  ,West
67,1363238,5788,Lowest,35,30-39,5,2,F ,2,Kim                                                         ,Lew                                                         ,TX  ,South
68,1362891,0,,15,10-19,7,0,F ,1,Molly                                                       ,Kirchmer                                                    ,OR  ,West
69,1362830,10933,Lowest,18,10-19,3,0,F ,1,Lisa                                                        ,Roberson                                                    ,PA  ,Northeast
70,1363217,15724,Low Middle,41,40-49,1,0,F ,1,Janice                                                      ,Ozenbaugh                                                   ,CA  ,West
71,1362626,15993,Low Middle,30,30-39,0,3,F ,2,Joanna                                                      ,Hemphill                                                    ,FL  ,South
72,1363013,4435,Lowest,65,60-69,5,0,F ,2,Malisa                                                      ,Schissler                                                   ,NY  ,Northeast
73,1363095,12396,Lowest,60,60-69,0,0,F ,2,Maxine                                                      ,Brownell                                                    ,NY  ,Northeast
74,1363482,9129,Lowest,66,60-69,6,0,M ,2,Tim                                                         ,Sze                                                         ,CO  ,West
75,1362687,7431,Lowest,37,30-39,7,1,F ,2,Daisy                                                       ,Parent                                                      ,OR  ,West
76,1362605,16957,Low Middle,34,30-39,4,0,F ,2,Robyn                                                       ,Baker                                                       ,TN  ,South
77,1362952,7633,Lowest,53,50-59,3,0,F ,2,Farrah                                                      ,O'Flaherty                                                  ,WA  ,West
78,1363339,0,,14,10-19,6,0,F ,1,Sibyl                                                       ,Starkel                                                     ,CA  ,West
79,1363421,1982,Lowest,28,20-29,7,0,M ,1,Kent                                                        ,Harper                                                      ,CA  ,West
80,1362727,81509,Highest,41,40-49,1,1,F ,2,Pat                                                         ,Kraus                                                       ,NY  ,Northeast
81,1362809,25180,Low Middle,56,50-59,6,1,F ,3,Jill                                                        ,Rostek                                                      ,IN  ,Midwest
